,Name,Address,Notes,Phone_Number,Station_Type,Vaccine_Type,Notes
169,COSTCO Pharmacy ,"2975 Richmond Ave, Staten Island",,N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Moderna (18+),
170,COSTCO Pharmacy ,"32-50 Vernon Boulevard, Queens",,(718) 267-5516,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (5-11),
171,COSTCO Pharmacy ,"517 East 117th Street, Manhattan",,N/A,Pharmacy ,Vaccine offered:Moderna (18+),
172,COSTCO Pharmacy ,"61-35 Junction Blvd, Queens",,N/A,Pharmacy ,Vaccine offered:Moderna (18+),
173,COSTCO Pharmacy ,"976 3rd Ave, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
174,CSS Pharmacy ,"2043 Grand Concourse, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 220-5402,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+)Pfizer (12+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , "
175,CVS Pharmacy ,"1 Columbus Place, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
176,CVS Pharmacy ,"100-02 Queens Boulevard, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
177,CVS Pharmacy ,"10204 Flatlands Avenue, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
178,CVS Pharmacy ,"108-11 Queens Boulevard, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
179,CVS Pharmacy ,"112 West 34th Street, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
180,CVS Pharmacy ,"1125 Bay Street, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
181,CVS Pharmacy ,"115 W. 125th Street, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
182,CVS Pharmacy ,"1172 3rd Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
183,CVS Pharmacy ,"118-10 Queens Boulevard, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
184,CVS Pharmacy ,"1223 2nd Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
185,CVS Pharmacy ,"1241 Lexington Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
186,CVS Pharmacy ,"1249 Nostrand Avenue, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
187,CVS Pharmacy ,"129 Fulton Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
188,CVS Pharmacy ,"1294 Lexington Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
189,CVS Pharmacy ,"130 Dyckman Street, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
190,CVS Pharmacy ,"130 Lenox Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
191,CVS Pharmacy ,"132-22 14th Avenue, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
192,CVS Pharmacy ,"1346 Pennsylvania Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
193,CVS Pharmacy ,"135-05 20th Avenue, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
194,CVS Pharmacy ,"1361 Hylan Boulevard, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
195,CVS Pharmacy ,"139 Flatbush Avenue, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
196,CVS Pharmacy ,"1396 2nd Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
197,CVS Pharmacy ,"1402 Sheepshead Bay Road, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
198,CVS Pharmacy ,"1440 Broadway, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
199,CVS Pharmacy ,"1-50 50th Ave, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
200,CVS Pharmacy ,"150 Court Street, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
201,CVS Pharmacy ,"1500 Lexington Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
202,CVS Pharmacy ,"153-01 10th Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
203,CVS Pharmacy ,"156 Henry Street, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
204,CVS Pharmacy ,"1569 1st Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
205,CVS Pharmacy ,"157-05 Cross Bay Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
206,CVS Pharmacy ,"1571 Forest Avenue, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
207,CVS Pharmacy ,"158 Bleecker Street, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
208,CVS Pharmacy ,"1598 Flatbush Avenue, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
209,CVS Pharmacy ,"1601 Kings Highway, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
210,CVS Pharmacy ,"161 Avenue Of The Americas, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
211,CVS Pharmacy ,"1622 3rd Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
212,CVS Pharmacy ,"1654 Richmond Avenue, Staten Island",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
213,CVS Pharmacy ,"168 Montague Street, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
214,CVS Pharmacy ,"1688 Westchester Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
215,CVS Pharmacy ,"170-05 Linden Boulevard, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
216,CVS Pharmacy ,"172-21 46th Avenue, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
217,CVS Pharmacy ,"178-02 Hillside Avenue, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
218,CVS Pharmacy ,"1916 Williamsbridge Road, Bronx",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
219,CVS Pharmacy ,"1933 Victory Boulevard, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
220,CVS Pharmacy ,"20 University Place, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
221,CVS Pharmacy ,"200 West End Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
222,CVS Pharmacy ,"2014 Cropsey Avenue, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
223,CVS Pharmacy ,"20-21 Francis Lewis Boulevard, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
224,CVS Pharmacy ,"2045 Forest Avenue, Staten Island",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
225,CVS Pharmacy ,"206-09 Linden Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
226,CVS Pharmacy ,"2112 White Plains Road, Bronx",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
227,CVS Pharmacy ,"212-20 Northern Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
228,CVS Pharmacy ,"215 Park Avenue South, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
229,CVS Pharmacy ,"215-08 73rd Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
230,CVS Pharmacy ,"2151 86th Street, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
231,CVS Pharmacy ,"218 Myrtle Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
232,CVS Pharmacy ,"2182 Broadway, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
233,CVS Pharmacy ,"219-39 89th Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
234,CVS Pharmacy ,"222 East 34th Street, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
235,CVS Pharmacy ,"224 East 161st Street, Bronx",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
236,CVS Pharmacy ,"2320 Ralph Avenue, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
237,CVS Pharmacy ,"241 West 57th Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
238,CVS Pharmacy ,"2465 Richmond Avenue, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
239,CVS Pharmacy ,"2495 Broadway, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
240,CVS Pharmacy ,"250 Page Avenue, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
241,CVS Pharmacy ,"251-21 Jamaica Ave, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
242,CVS Pharmacy ,"253 1st Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
243,CVS Pharmacy ,"254-03 Hillside Avenue, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
244,CVS Pharmacy ,"255 Greenwich Street, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
245,CVS Pharmacy ,"260 Arden Avenue, Staten Island",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
246,CVS Pharmacy ,"2690 Hylan Boulevard, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
247,CVS Pharmacy ,"27 North 6th Street, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
248,CVS Pharmacy ,"271 Beach 20th Street, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
249,CVS Pharmacy ,"272 8th Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
250,CVS Pharmacy ,"275 3rd Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
251,CVS Pharmacy ,"282 East 149th Street, Bronx",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
252,CVS Pharmacy ,"2833 Broadway, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
253,CVS Pharmacy ,"2873 Richmond Avenue, Staten Island",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
254,CVS Pharmacy ,"288 St Nicholas Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
255,CVS Pharmacy ,"2900 Veterans Road West, Staten Island",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
256,CVS Pharmacy ,"292 Madison Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
257,CVS Pharmacy ,"2925 Kings Highway, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
258,CVS Pharmacy ,"298 Mulberry Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
259,CVS Pharmacy ,"30 Flatbush Avenue, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
260,CVS Pharmacy ,"300 Park Avenue South, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
261,CVS Pharmacy ,"305 East 86th Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
262,CVS Pharmacy ,"30-97 Steinway Street, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
263,CVS Pharmacy ,"31-01 Ditmars Boulevard, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
264,CVS Pharmacy ,"3125 Bainbridge Avenue, Bronx",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
265,CVS Pharmacy ,"320 5th Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
266,CVS Pharmacy ,"329 Wyckoff Avenue, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
267,CVS Pharmacy ,"338 East 23rd Street, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
268,CVS Pharmacy ,"341 9th Street, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
269,CVS Pharmacy ,"35-26 Francis Lewis Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
270,CVS Pharmacy ,"3536 Broadway, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
271,CVS Pharmacy ,"3681 Bruckner Boulevard, Bronx",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
272,CVS Pharmacy ,"3775 East Tremont Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
273,CVS Pharmacy ,"387 Park Avenue South, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
274,CVS Pharmacy ,"395 Court Street, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
275,CVS Pharmacy ,"40 West 225th Street, Bronx",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
276,CVS Pharmacy ,"400 Grand Street, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
277,CVS Pharmacy ,"40-24 College Point Boulevard, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
278,CVS Pharmacy ,"4055 Hylan Boulevard, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
279,CVS Pharmacy ,"4065 Amboy Road, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
280,CVS Pharmacy ,"41-08 Queens Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
281,CVS Pharmacy ,"411 Ditmas Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
282,CVS Pharmacy ,"4112 Avenue U, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
283,CVS Pharmacy ,"420 5th Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
284,CVS Pharmacy ,"445 Gold Street, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
285,CVS Pharmacy ,"475 Avenue Of The Americas, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
286,CVS Pharmacy ,"4901 Kings Highway, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
287,CVS Pharmacy ,"5 Penn Plaza, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
288,CVS Pharmacy ,"50 East 167th Street, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
289,CVS Pharmacy ,"500 Grand Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
290,CVS Pharmacy ,"500 West 23rd Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
291,CVS Pharmacy ,"500 West 42nd Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
292,CVS Pharmacy ,"501 Forest Avenue, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
293,CVS Pharmacy ,"51 Astor Place, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
294,CVS Pharmacy ,"512 2nd Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
295,CVS Pharmacy ,"519 Gateway Drive, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
296,CVS Pharmacy ,"532 Neptune Avenue, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),
297,CVS Pharmacy ,"540 Amsterdam Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
298,CVS Pharmacy ,"54-06 31st Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
299,CVS Pharmacy ,"565 West 235th Street, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
300,CVS Pharmacy ,"5830 Amboy Road, Staten Island",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
301,CVS Pharmacy ,"61-15 Metropolitan Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
302,CVS Pharmacy ,"61-26 188th Street, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
303,CVS Pharmacy ,"640 Arthur Kill Road, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
304,CVS Pharmacy ,"65 5th Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
305,CVS Pharmacy ,"6702 Ft Hamilton Parkway, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
306,CVS Pharmacy ,"68-02 Myrtle Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
307,CVS Pharmacy ,"6831 Bay Parkway, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
308,CVS Pharmacy ,"69-80 Grand Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
309,CVS Pharmacy ,"700 Exterior Street, Bronx",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
310,CVS Pharmacy ,"70-00 Austin Street, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
311,CVS Pharmacy ,"72-09 Northern Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
312,CVS Pharmacy ,"732 Allerton Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
313,CVS Pharmacy ,"743 Amsterdam Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
314,CVS Pharmacy ,"75 Christopher Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
315,CVS Pharmacy ,"750 Avenue Of The Americas, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
316,CVS Pharmacy ,"757 3rd Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
317,CVS Pharmacy ,"778 Manor Road, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
318,CVS Pharmacy ,"7960 Metropolitan Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
319,CVS Pharmacy ,"800 10th Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
320,CVS Pharmacy ,"81 8th Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
321,CVS Pharmacy ,"815 Hutchinson River Parkway, Bronx",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),
322,CVS Pharmacy ,"83-02 Atlantic Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
