ID,Name,Address,Notes,Phone_Number,Station_Type,Vaccine_Type,Notes,formatted_address,latitude,longitude
256,CVS Pharmacy ,"292 Madison Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),,"292 Madison Ave, New York, NY 10017, USA",40.7520595,-73.9802252
257,CVS Pharmacy ,"2925 Kings Highway, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),,"2925 Kings Hwy, Brooklyn, NY 11229, USA",40.6162819,-73.9452586
258,CVS Pharmacy ,"298 Mulberry Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","298 Mulberry St, New York, NY 10012, USA",40.7250884,-73.9944124
259,CVS Pharmacy ,"30 Flatbush Avenue, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),,"30 Flatbush Ave, Brooklyn, NY 11217, USA",40.6880486,-73.9805705
260,CVS Pharmacy ,"300 Park Avenue South, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),,"300 Park Ave S, New York, NY 10010, USA",40.7398401,-73.9869564
261,CVS Pharmacy ,"305 East 86th Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","305 East 86th St, New York, NY 10028, USA",40.7779784,-73.9512449
262,CVS Pharmacy ,"30-97 Steinway Street, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),,"30-97 Steinway St, Astoria, NY 11103, USA",40.7613619,-73.916647
263,CVS Pharmacy ,"31-01 Ditmars Boulevard, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),,"31 01 Ditmars Blvd, Queens, NY 11105, USA",40.7760652,-73.9103317
264,CVS Pharmacy ,"3125 Bainbridge Avenue, Bronx",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),,"3125 Bainbridge Ave, Bronx, NY 10467, USA",40.8743967,-73.8796248
265,CVS Pharmacy ,"320 5th Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),,"320 5th Ave, New York, NY 10001, USA",40.7475057,-73.9858036
266,CVS Pharmacy ,"329 Wyckoff Avenue, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),,"329 Wyckoff Ave, Ridgewood, NY 11385, USA",40.6998839,-73.9110693
267,CVS Pharmacy ,"338 East 23rd Street, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),,"338 E 23rd St, New York, NY 10010, USA",40.7369684,-73.9794448
268,CVS Pharmacy ,"341 9th Street, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),,"341 9th St, Brooklyn, NY 11215, USA",40.6688043,-73.9848391
269,CVS Pharmacy ,"35-26 Francis Lewis Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","35-26 Francis Lewis Blvd, Flushing, NY 11358, USA",40.7637086,-73.7880911
270,CVS Pharmacy ,"3536 Broadway, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),,"3536 Broadway, New York, NY 10031, USA",40.8261028,-73.9503755
271,CVS Pharmacy ,"3681 Bruckner Boulevard, Bronx",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),,"3681 Bruckner Blvd, Bronx, NY 10461, USA",40.8524432,-73.8276329
272,CVS Pharmacy ,"3775 East Tremont Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","3775 E Tremont Ave, Bronx, NY 10465, USA",40.8255689,-73.8205401
273,CVS Pharmacy ,"387 Park Avenue South, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),,"387 Park Ave S, New York, NY 10016, USA",40.7429012,-73.9841382
274,CVS Pharmacy ,"395 Court Street, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),,"395 Court St, Brooklyn, NY 11231, USA",40.6798099,-73.9968912
275,CVS Pharmacy ,"40 West 225th Street, Bronx",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),,"40 W 225th St, Bronx, NY 10463, USA",40.8734127,-73.9077537
276,CVS Pharmacy ,"400 Grand Street, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),,"400 Grand St, New York, NY 10002, USA",40.7164903,-73.9867718
277,CVS Pharmacy ,"40-24 College Point Boulevard, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),,"40-24 College Point Blvd, Queens, NY 11354, USA",40.757229,-73.8356575
278,CVS Pharmacy ,"4055 Hylan Boulevard, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","4055 Hylan Blvd, Staten Island, NY 10308, USA",40.540959,-74.1474602
279,CVS Pharmacy ,"4065 Amboy Road, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","4065 Amboy Rd, Staten Island, NY 10308, USA",40.5496668,-74.1523471
280,CVS Pharmacy ,"41-08 Queens Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","41 08 Queens Blvd, Queens, NY 11104, USA",40.7432294,-73.9231688
281,CVS Pharmacy ,"411 Ditmas Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","411 Ditmas Ave, Brooklyn, NY 11218, USA",40.6361437,-73.9746695
282,CVS Pharmacy ,"4112 Avenue U, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","4112 Avenue U, Brooklyn, NY 11234, USA",40.6085031,-73.9232147
283,CVS Pharmacy ,"420 5th Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","420 5th Ave, New York, NY 10018, USA",40.7508592,-73.9833243
284,CVS Pharmacy ,"445 Gold Street, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),,"445 Gold St, Brooklyn, NY 11201, USA",40.6909903,-73.9829908
285,CVS Pharmacy ,"475 Avenue Of The Americas, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","475 6th Ave, New York, NY 10011, USA",40.7359064,-73.9981301
286,CVS Pharmacy ,"4901 Kings Highway, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),,"4901 Kings Hwy, Brooklyn, NY 11234, USA",40.6343753,-73.9289096
287,CVS Pharmacy ,"5 Penn Plaza, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),,"5 Pennsylvania Plaza, New York, NY 10001, USA",40.7519205,-73.9940677
288,CVS Pharmacy ,"50 East 167th Street, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","50 E 167th St, Bronx, NY 10452, USA",40.8353227,-73.9207592
289,CVS Pharmacy ,"500 Grand Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","500 Grand St, New York, NY 10002, USA",40.7149298,-73.9826705
290,CVS Pharmacy ,"500 West 23rd Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","500 W 23rd St, New York, NY 10011, USA",40.7475705,-74.0047154
291,CVS Pharmacy ,"500 West 42nd Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","500 W 42nd St, New York, NY 10036, USA",40.7596002,-73.995927
292,CVS Pharmacy ,"501 Forest Avenue, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","501 Forest Ave, Staten Island, NY 10310, USA",40.6308147,-74.10624
293,CVS Pharmacy ,"51 Astor Place, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","51 Astor Pl, New York, NY 10003, USA",40.7301092,-73.9902571
294,CVS Pharmacy ,"512 2nd Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),,"512 2nd Ave, New York, NY 10016, USA",40.7413426,-73.9780298
295,CVS Pharmacy ,"519 Gateway Drive, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),,"519 Gateway Dr, Brooklyn, NY 11239, USA",40.6529575,-73.8700236
296,CVS Pharmacy ,"532 Neptune Avenue, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),,"532 Neptune Ave, Brooklyn, NY 11224, USA",40.5791011,-73.9743022
297,CVS Pharmacy ,"540 Amsterdam Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","540 Amsterdam Ave, New York, NY 10024, USA",40.7880102,-73.9751288
298,CVS Pharmacy ,"54-06 31st Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","54 06 31st Ave, Queens, NY 11377, USA",40.7568225,-73.9070017
299,CVS Pharmacy ,"565 West 235th Street, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","565 W 235th St, Bronx, NY 10463, USA",40.8860579,-73.9105843
300,CVS Pharmacy ,"5830 Amboy Road, Staten Island",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),,"5830 Amboy Rd, Staten Island, NY 10309, USA",40.5255213,-74.201653
301,CVS Pharmacy ,"61-15 Metropolitan Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","61-15 Metropolitan Ave, Queens, NY 11385, USA",40.7129806,-73.9013521
302,CVS Pharmacy ,"61-26 188th Street, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),,"61-26 188th St, Fresh Meadows, NY 11365, USA",40.7396954,-73.7864474
303,CVS Pharmacy ,"640 Arthur Kill Road, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","640 Arthur Kill Rd, Staten Island, NY 10308, USA",40.5595475,-74.1628515
304,CVS Pharmacy ,"65 5th Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),,"65 5th Ave, New York, NY 10003, USA",40.7355899,-73.9935228
305,CVS Pharmacy ,"6702 Ft Hamilton Parkway, Brooklyn",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),,"6702 Fort Hamilton Pkwy, Brooklyn, NY 11219, USA",40.6296656,-74.0111837
306,CVS Pharmacy ,"68-02 Myrtle Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","68-02 Myrtle Ave, Queens, NY 11385, USA",40.7014092,-73.8844022
307,CVS Pharmacy ,"6831 Bay Parkway, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","6831 Bay Pkwy, Brooklyn, NY 11204, USA",40.6109358,-73.9838223
308,CVS Pharmacy ,"69-80 Grand Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","69-80 Grand Ave, Maspeth, NY 11378, USA",40.7272002,-73.8927475
309,CVS Pharmacy ,"700 Exterior Street, Bronx",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),,"700 Exterior Street, Bronx, NY 10451, USA",40.8239106,-73.92992
310,CVS Pharmacy ,"70-00 Austin Street, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","70-00 Austin St, Forest Hills, NY 11375, USA",40.7208932,-73.8470657
311,CVS Pharmacy ,"72-09 Northern Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","72-09 Northern Blvd, Jackson Heights, NY 11372, USA",40.7549039,-73.8943747
312,CVS Pharmacy ,"732 Allerton Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","732 Allerton Ave, Bronx, NY 10467, USA",40.8653194,-73.8661101
313,CVS Pharmacy ,"743 Amsterdam Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","743 Amsterdam Ave, New York, NY 10025, USA",40.7941719,-73.9699172
314,CVS Pharmacy ,"75 Christopher Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","75 Christopher St, New York, NY 10014, USA",40.7338176,-74.0030659
315,CVS Pharmacy ,"750 Avenue Of The Americas, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","750 6th Ave, New York, NY 10010, USA",40.7437079,-73.9919839
316,CVS Pharmacy ,"757 3rd Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","757 3rd Ave, New York, NY 10017, USA",40.7539115,-73.971662
317,CVS Pharmacy ,"778 Manor Road, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","778 Manor Rd, Staten Island, NY 10314, USA",40.608066,-74.121672
318,CVS Pharmacy ,"7960 Metropolitan Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","7960 Metropolitan Ave, Queens, NY 11379, USA",40.712829,-73.8719071
319,CVS Pharmacy ,"800 10th Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","800 10th Ave, New York, NY 10019, USA",40.7669437,-73.9898253
320,CVS Pharmacy ,"81 8th Avenue, Manhattan",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),,"81 8th Ave, New York, NY 10011, USA",40.7401171,-74.0027977
321,CVS Pharmacy ,"815 Hutchinson River Parkway, Bronx",,(800) 746-7287,Pharmacy ,Vaccine offered:Moderna (18+),,"815 Hutchinson River Pkwy, Bronx, NY 10465, USA",40.824371,-73.8368981
322,CVS Pharmacy ,"83-02 Atlantic Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","83-02 Atlantic Ave, Queens, NY 11416, USA",40.6852173,-73.857582
323,CVS Pharmacy ,"8430 New Utrecht Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","8430 New Utrecht Ave, Brooklyn, NY 11214, USA",40.6081339,-74.002056
324,CVS Pharmacy ,"85-29 126th Street, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","85-29 126th St, Kew Gardens, NY 11415, USA",40.7034473,-73.8245129
325,CVS Pharmacy ,"859 Manhattan Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","859 Manhattan Ave, Brooklyn, NY 11222, USA",40.7293315,-73.9541124
326,CVS Pharmacy ,"88-01 Queens Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","88-01 Queens Blvd, Forest Hills, NY 11375, USA",40.7357181,-73.8744498
327,CVS Pharmacy ,"88-07 Rockaway Beach Boulevard, Queens",,(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),,"8807 Rockaway Beach Blvd, Rockaway Beach, NY 11693, USA",40.5866148,-73.8130958
328,CVS Pharmacy ,"89-11 Northern Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","89 11 Northern Blvd, Jackson Heights, NY 11372, USA",40.7565939,-73.8783375
329,CVS Pharmacy ,"969 2nd Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","969 2nd Ave, New York, NY 10022, USA",40.7559074,-73.9681935
330,CVS Pharmacy ,"97-01 Liberty Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","97-01 Liberty Ave, Ozone Park, NY 11417, USA",40.6814267,-73.8418573
331,CVS Pharmacy ,"97-10 63rd Road, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","97-10 63rd Rd, Rego Park, NY 11374, USA",40.7308088,-73.8605138
332,CVS Pharmacy ,"97-15 Metropolitan Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 746-7287,Pharmacy ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","97-15 Metropolitan Ave, Forest Hills, NY 11375, USA",40.7113503,-73.855019
333,Danny's Pharmacy II ,"110 West End Avenue, Manhattan",,(212) 362-0000,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),,"110 West End Ave, New York, NY 10023, USA",40.7748695,-73.9877319
334,Dorado Pharmacy ,"1440 Forest Ave, Store 5, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(631) 380-3800,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","1440 Forest Ave Store 5, Staten Island, NY 10302, USA",40.624211,-74.136337
335,Drug Mart ,"5203a Broadway, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 562-6637,Pharmacy ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","5203A Broadway, Bronx, NY 10463, USA",40.874734,-73.9098649
336,Eagle Pharmacy ,"64-02 Flushing Avenue, Queens",,(718) 416-1749,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (5-11)Johnson & Johnson (18+),,"64-2 Flushing Ave, Maspeth, NY 11378, USA",40.722569,-73.9012722
337,East Tremont Pharmacy Inc ,"1065 East Tremont Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 861-0382,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","1065 E Tremont Ave, Bronx, NY 10460, USA",40.8403847,-73.8791203
338,Elite Chemists ,"6097 Putnam Ave, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(347) 799-2644,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","6097 Putnam Ave, Flushing, NY 11385, USA",40.7065076,-73.8974592
339,Embassy Drugs ,"1873 Amsterdam Avenue, Manhattan",,(212) 690-1331,Pharmacy ,Vaccine offered:Moderna (18+),,"1873 Amsterdam Ave, New York, NY 10031, USA",40.8299685,-73.9439039
340,Esco Drug Inc. ,"687 9th Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(212) 246-8169,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Pfizer (12+)Moderna (18+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , ","687 9th Ave, New York, NY 10036, USA",40.7619194,-73.9904178
341,Esquire Pharmacy ,"277 1st Avenue, Manhattan",,(212) 228-2260,Pharmacy ,Vaccine offered:Pfizer (12+),,"277 1st Ave., New York, NY 10003, USA",40.7326203,-73.9819699
342,Estates Pharmacy ,"169-01 Hillside Avenue, Queens",,(718) 739-0311,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (12+),,"169-01 Hillside Avenue, Jamaica, NY 11432, USA",40.7110007,-73.7928557
343,Euro Chemist Pharmacy ,"669 Manhattan Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 349-6696,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+)Pfizer (12+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , ","669 Manhattan Ave, Brooklyn, NY 11222, USA",40.724704,-73.9515342
344,Eve and Mike Pharmacy ,"552 St Marks Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 230-3321,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+)Pfizer (12+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , ","552 St Marks Ave, Brooklyn, NY 11238, USA",40.6757869,-73.9563026
345,Eve Pharmacy ,"2836 Coney Island Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 743-8585,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+)Pfizer (12+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , ","2836 Coney Island Ave, Brooklyn, NY 11235, USA",40.5873962,-73.9607567
346,Family Drug Store ,"2550 Boston Road, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(347) 920-2520,Pharmacy ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","2550 Boston Rd, Bronx, NY 10467, USA",40.8641152,-73.8638044
347,FAMILY PHARMACY ,"1101 Flatbush Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 703-2440,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","1101 Flatbush Ave, Brooklyn, NY 11226, USA",40.6434876,-73.9574965
348,Farmacia Central Inc ,"102 Nagle Avenue, Manhattan",,(212) 942-5050,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Pfizer (5-11)Pfizer (12+)Moderna (18+),,"102 Nagle Ave, New York, NY 10040, USA",40.8608671,-73.9273257
349,Felicity Pharmacy ,"621 East Tremont Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 466-5695,Pharmacy ,Vaccines offered:Pfizer (5-11)Johnson & Johnson (18+)Moderna (18+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","621 E Tremont Ave, Bronx, NY 10457, USA",40.8463447,-73.8924823
350,First Aid Pharmacy ,"921 East Tremont Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 893-5700,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","921 E Tremont Ave, Bronx, NY 10460, USA",40.8420678,-73.883495
351,FirstMed Pharmacy Inc. ,"39-36 Queens Boulevard, Queens",,(718) 734-2964,Pharmacy ,Vaccine offered:Moderna (18+),,"39-36 Queens Blvd, Sunnyside, NY 11104, USA",40.7435619,-73.9247465
352,Franconia Pharmacy ,"45-02 162nd Street, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 359-7780,Pharmacy ,Vaccines offered:Pfizer (5-11)Moderna (18+)Johnson & Johnson (18+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","45-02 162nd St, Flushing, NY 11358, USA",40.7563163,-73.8047666
353,Franhill Pharmacy ,"204-19 Hillside Avenue, Queens",,(718) 465-2121,Pharmacy ,Vaccines offered:Pfizer (5-11)Johnson & Johnson (18+)Moderna (18+)Pfizer (12+),,"204-19 Hillside Avenue, Hollis, NY 11423, USA",40.7210754,-73.7607992
354,Freya Pharmacy Inc. ,"101-19 39th Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(347) 649-2525,Pharmacy ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","101-19 39th Ave, Flushing, NY 11368, USA",40.75056,-73.864231
355,Fuller Drug Store ,"2688 Third Avenue, Bronx",,(718) 292-4244,Pharmacy ,Vaccine offered:Moderna (18+),,"2688 3rd Ave., Bronx, NY 10454, USA",40.8132621,-73.922411
